sim_idx,mpi_era,activity,institution_ID,source_ID,Resolution,experiment_ID,member_ID,table ID,variable,grid_label,version,data_node/0,data_node,url,number_of_files,date_start,date_stop,start_count,year_step,size,grid,nominal_resolution
17,CMIP6,CMIP,E3SM-Project,E3SM-1-0,LR,historical,r1i1p1f1,Omon,zos,gr,v20190826,aims3.llnl.gov,aims3.llnl.gov,http://aims3.llnl.gov/thredds/fileServer/user_pub_work/,33,185001,201412,0,5,331384735,"ENVELOPE(-180.0, -0.5, 89.5, -89.5)",100 km
18,CMIP6,CMIP,E3SM-Project,E3SM-1-0,LR,historical,r2i1p1f1,Omon,zos,gr,v20190830,aims3.llnl.gov,aims3.llnl.gov,http://aims3.llnl.gov/thredds/fileServer/user_pub_work/,33,185001,201412,0,5,331421854,"ENVELOPE(-180.0, -0.5, 89.5, -89.5)",100 km
19,CMIP6,CMIP,E3SM-Project,E3SM-1-0,LR,historical,r3i1p1f1,Omon,zos,gr,v20190827,aims3.llnl.gov,aims3.llnl.gov,http://aims3.llnl.gov/thredds/fileServer/user_pub_work/,33,185001,201412,0,5,331431590,"ENVELOPE(-180.0, -0.5, 89.5, -89.5)",100 km
20,CMIP6,CMIP,E3SM-Project,E3SM-1-0,LR,historical,r4i1p1f1,Omon,zos,gr,v20190909,aims3.llnl.gov,aims3.llnl.gov,http://aims3.llnl.gov/thredds/fileServer/user_pub_work/,33,185001,201412,0,5,331382782,"ENVELOPE(-180.0, -0.5, 89.5, -89.5)",100 km
21,CMIP6,CMIP,E3SM-Project,E3SM-1-0,LR,historical,r5i1p1f1,Omon,zos,gr,v20200429,esgf-data2.llnl.gov,esgf-data2.llnl.gov,http://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/,33,185001,201412,0,5,331400458,"ENVELOPE(-180.0, -0.5, 89.5, -89.5)",100 km
22,CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,LR,historical,r3i1p1f1,Omon,zos,gn,v20200730,esgf.bsc.es,esgf.bsc.es,http://esgf.bsc.es/thredds/fileServer/esg_dataroot/aemet_historical-CMIP-r3/,165,185001,201412,0,1,721139581,ORCA1L75,50 km
23,CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,LR,hist-1950,r1i1p2f1,Omon,zos,gn,v20190314,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,239581125,ORCA05,100 km
24,CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,LR,hist-1950,r2i1p2f1,Omon,zos,gn,v20190812,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,239575901,ORCA05,100 km
25,CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P,LR,hist-1950,r3i1p2f1,Omon,zos,gn,v20190215,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,248209255,ORCA1T255,25 km
26,CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,HR,hist-1950,r1i1p2f1,Omon,zos,gn,v20181212,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3604734049,ORCA025,25 km
